Fighter Name
Alfred Khashakyan
Aliaskhab Khizriev
WonBin Ki
Pannie Kianzad
Katsunori Kikuno
Sinae Kikuta
Jacob Kilburn
Ji Yeon Kim
Sang Won Kim
Sangwook Kim
KyeongPyo Kim
MinWoo Kim
HanSeul Kim
Dong Hyun Kim
Jeremy Kimball
Rob Kimmons
Dustin Kimura
Mike King
Kyle Kingsbury
Yusaku Kinoshita
Kamuela Kirk
Justine Kish
Koji Kitao
Top Noi Kiwram
Ludovit Klein
Nick Klein
Fatima Kline
Felix Klinkhammer
Drakkar Klose
Jason Knight
William Knight
Josefine Knutsson
Seokhyeon Ko
Erik Koch
Brad Kohler
Kaloyan Kolev
John Kolosci
Syuri Kondo
Yuki Kondo
Cheick Kongo
Jon Koppenhaver
Roman Kopylov
Bruno Korea
Tsuyoshi Kosaka
Josh Koscheck
Steven Koslow
Naoyuki Kotani
Karolina Kowalkiewicz
Derrick Krantz
James Krause
Pascal Krauss
Kaynan Kruschewsky
Jorgen Kruth
Nikita Krylov
Mariusz Ksiazkiewicz
Michael Kuiper
Anton Kuivanen
Sumit Kumar
Aleksei Kunchenko
Rizvan Kuniev
Keigo Kunihara
Kiichi Kunimoto
Leo Kuntz
Korey Kuppe
Ramazan Kuramagomedov
Guram Kutateladze
Kwan Ho Kwak
Mike Kyle
Luan Lacerda
Daniel Lacerda
Aspen Ladd
Ryan LaFlare
Corinne Laframboise
Noad Lahat
Tina Lahdemaki
Yohan Lainesse
Tim Lajcik
Sean Lally
Ricardo Lamas
Jason Lambert
Nate Landwehr
Austen Lane
Lina Lansberg
Taylor Lapilus
Chad Laprise
Anthony Lapsley
TJ Laramie
Icho Larenas
Lorenz Larkin
Jeremy Larsen
Brock Larson
Ilir Latifi
Sione Latu
Jenel Lausa
Dan Lauzon
Joe Lauzon
Sandra Lavado
Robbie Lawler
Tom Lawlor
Justin Lawrence
Lance Lawrence
Ronnie Lawrence
Jimmy Lawson
Valmir Lazaro
Zviad Lazishvili
Mounir Lazzez
Thanh Le
Cung Le
Quang Le
Carlos Leal
Jordan Leavitt
Chris Leben
Mickael Lebout
Justin Ledet
Kevin Lee
Vaughan Lee
Rocky Lee
David Lee
Jung Hyun Lee
James Lee
Jackie Lee
ChangHo Lee
JeongYeong Lee
Andrea Lee
Cheyden Leialoha
Christophe Leininger
Claudia Leite
Thales Leites
Amanda Lemos
Giacomo Lemos
Jesse Lennox
Nik Lentz
Alberto Cerro Leon
Victoria Leonardo
Anthony Leone
Kimo Leopoldo
Brock Lesnar
Frank Lester
Valerie Letourneau
Leah Letson
Justin Levens
Marcus LeVesseur
David Levicki
Natan Levy
Derrick Lewis
Bevon Lewis
John Lewis
Malik Lewis
Brandon Lewis
Chi Lewis-Parry
Liang Na
Jess Liaudin
Chuck Liddell
Rodrigo Lidio
Zach Light
Chris Ligouri
Hyun Gyu Lim
Juliana Lima
Dhiego Lima
Mabelly Lima
Felipe Lima
Andre Lima
Matt Lindland
Jake Lindsey
John Lineker
Austin Lingo
Lucio Linhares
Philipe Lins
Zhang Lipeng
Tainara Lisboa
Dean Lister
Pingyuan Liu
James Llontop
Abner Lloveras
John Lober
Artem Lobov
Dylan Lockard
Ryan Loder
Sean Loeffler
Christian Lohsen
David Loiseau
Hector Lombard
Michael Lombardo
Xiao Long
Loma Lookboonmee
Ange Loosa
Dileno Lopes
Bruno Lopes
Diego Lopes
Matthew Lopez
Jorge Lopez
