,level_0,index,RedFighter,BlueFighter,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,TotalFightTimeSecs,index_Red,strike_accuracy_Red,takedown_accuracy_Red,connected_strikes_per_minute_Red,absorved_strikes_per_minute_Red,strikes_defense_Red,takedown_defense_Red,takedown_avg_Red,submission_avg_Red,knockdown_avg_Red,avg_fight_time_Red,weight_Red,height_Red,reach_Red,age_Red,Wins_Red,Losses_Red,win_by_ko_tko_win_Red,win_by_ko_tko_win_percent_Red,win_by_dec_win_Red,win_by_dec_win_percent_Red,win_by_sub_win_Red,win_by_sub_win_percent_Red,index_Blue,strike_accuracy_Blue,takedown_accuracy_Blue,connected_strikes_per_minute_Blue,absorved_strikes_per_minute_Blue,strikes_defense_Blue,takedown_defense_Blue,takedown_avg_Blue,submission_avg_Blue,knockdown_avg_Blue,avg_fight_time_Blue,weight_Blue,height_Blue,reach_Blue,age_Blue,Wins_Blue,Losses_Blue,win_by_ko_tko_win_Blue,win_by_ko_tko_win_percent_Blue,win_by_dec_win_Blue,win_by_dec_win_percent_Blue,win_by_sub_win_Blue,win_by_sub_win_percent_Blue
237,237,569,islam makhachev,alexander volkanovski,Red,True,Lightweight,1,5,0,1,0,6.16,0.56,0.2,1.78,0.37,12,1,50,8,0,1,7,5,0,0,13,1.0,167.64,180.34,145,0,12,0,2.65,0.59,1.1,3.19,0.53,12,1,33,3,0,0,5,2,6,0,13,0.0,177.8,177.8,155,31,35,KO/TKO,186.0,516.0,0.59,0.54,2.63,1.55,0.61,0.91,3.2,1.13,0.35,10.2,154.5,70.0,70.5,33.0,27.0,-1.0,5.0,0.19,9.0,0.33,13.0,0.48,918.0,0.57,0.38,6.16,3.44,0.58,0.7,1.78,0.18,0.36,15.82,144.5,66.0,71.5,36.0,26.0,-4.0,13.0,0.52,9.0,0.36,3.0,0.12
238,238,572,said nurmagomedov,muin gafurov,Red,False,Bantamweight,1,3,2,0,0,3.03,0.47,0.0,1.95,0.27,0,2,6,0,0,0,0,0,0,0,0,0.0,170.18,172.72,135,1,0,0,3.55,0.47,1.4,1.01,0.16,4,2,17,0,0,1,1,2,2,0,6,1.0,172.72,177.8,135,31,27,SUB,73.0,622.0,0.48,0.15,3.38,2.25,0.56,0.62,1.01,1.18,0.17,8.92,135.5,68.0,70.0,32.0,18.0,-4.0,4.0,0.22,8.0,0.44,6.0,0.33,302.0,0.46,0.26,2.89,2.21,0.53,0.7,1.47,0.0,0.25,12.25,136.0,67.0,68.0,28.0,20.0,-6.0,10.0,0.5,3.0,0.15,7.0,0.35
239,239,577,nathaniel wood,muhammad naimov,Blue,False,Featherweight,1,3,0,1,0,3.18,0.43,0.0,1.8,0.3,1,1,5,0,0,0,0,1,0,0,1,1.0,175.26,177.8,145,0,3,0,5.75,0.51,0.5,1.56,0.48,3,2,25,0,0,0,4,0,3,0,7,1.0,167.64,175.26,145,30,29,U-DEC,900.0,939.0,0.51,0.48,5.75,4.0,0.56,0.73,1.56,0.52,0.31,13.13,154.8,66.0,69.0,31.0,21.0,-6.0,8.0,0.4,7.0,0.35,5.0,0.25,592.0,0.42,0.36,2.94,3.77,0.44,0.67,1.85,0.0,0.23,10.83,145.5,69.0,70.0,30.0,12.0,-3.0,6.0,0.5,4.0,0.33,2.0,0.17
240,240,582,jonathan martinez,adrian yanez,Red,False,Bantamweight,1,3,1,0,0,6.51,0.41,0.0,0.0,0.0,6,1,12,0,0,1,0,5,0,0,6,1.0,170.18,177.8,135,0,5,0,4.54,0.49,0.1,0.41,0.35,5,3,34,0,0,0,6,3,0,0,9,0.0,172.72,177.8,135,29,29,KO/TKO,446.0,525.0,0.5,0.36,4.44,4.09,0.57,0.68,0.38,0.08,0.68,13.32,135.8,68.0,70.0,30.0,19.0,-6.0,9.0,0.47,8.0,0.42,2.0,0.11,947.0,0.42,0.0,6.23,5.75,0.55,0.82,0.0,0.0,1.54,6.8,136.0,67.0,70.0,31.0,17.0,-6.0,11.0,0.65,4.0,0.24,2.0,0.12
241,241,584,christian rodriguez,cameron saaiman,Red,False,Bantamweight,1,3,0,4,0,5.32,0.46,0.7,0.91,0.28,4,0,10,0,1,0,0,3,0,0,4,0.0,172.72,170.18,135,0,2,0,3.65,0.47,1.1,1.07,0.54,2,1,10,0,0,0,2,0,1,0,3,1.0,170.18,180.34,145,25,22,U-DEC,900.0,744.0,0.49,0.53,3.54,2.41,0.58,0.7,1.21,1.21,0.0,12.37,145.0,67.0,71.5,27.0,12.0,-2.0,3.0,0.25,5.0,0.42,4.0,0.33,765.0,0.47,0.29,5.32,4.18,0.52,0.47,0.91,0.69,0.46,10.93,147.0,68.0,67.0,23.0,9.0,-2.0,6.0,0.75,1.0,0.13,1.0,0.13
242,242,592,joe pyfer,abdul razak alhassan,Red,False,Middleweight,1,3,0,1,0,3.62,0.49,0.2,0.88,0.38,3,5,20,0,0,0,0,6,0,0,6,1.0,177.8,185.42,185,0,3,0,3.72,0.41,0.9,1.45,0.41,3,1,5,0,0,0,0,3,0,0,3,1.0,187.96,190.5,185,27,38,SUB,425.0,708.0,0.41,0.42,3.72,3.48,0.52,0.5,1.45,0.87,0.87,7.38,204.0,74.0,75.0,27.0,13.0,-3.0,9.0,0.69,1.0,0.08,3.0,0.23,17.0,0.5,0.33,3.64,4.01,0.55,0.52,0.84,0.17,1.85,5.97,185.5,70.0,73.0,39.0,12.0,-7.0,12.0,1.0,0.0,0.0,0.0,0.0
243,243,593,alex morono,joaquin buckley,Blue,False,Welterweight,1,3,0,1,0,4.25,0.36,0.0,1.69,0.44,3,4,23,0,0,1,0,5,0,0,6,0.0,177.8,193.04,170,0,1,0,4.96,0.41,0.4,0.36,0.26,4,5,44,0,0,1,7,2,2,0,12,1.0,180.34,182.88,170,33,29,U-DEC,900.0,573.0,0.4,0.25,4.96,4.56,0.57,0.48,0.34,0.34,0.28,12.07,170.5,71.0,72.0,34.0,24.0,-11.0,6.0,0.25,11.0,0.46,7.0,0.29,120.0,0.37,0.45,4.22,3.13,0.59,0.74,1.78,0.09,0.84,10.65,171.0,70.0,76.0,30.0,21.0,-6.0,15.0,0.71,6.0,0.29,0.0,0.0
244,244,596,karolina kowalkiewicz,diana belbita,Red,False,Women's Strawweight,0,3,0,1,0,6.54,0.42,0.0,0.91,0.62,1,3,13,0,0,0,2,0,0,0,2,1.0,170.18,172.72,115,0,3,0,5.71,0.43,0.2,0.34,0.23,3,7,40,1,0,2,5,0,1,0,8,1.0,160.02,162.56,115,37,27,U-DEC,900.0,450.0,0.43,0.23,5.54,5.51,0.58,0.75,0.31,0.19,0.0,13.25,115.5,63.0,64.0,39.0,16.0,-9.0,1.0,0.06,12.0,0.75,3.0,0.19,81.0,0.43,0.63,6.54,6.55,0.52,0.66,0.91,0.0,0.18,11.82,116.0,67.0,68.0,28.0,15.0,-9.0,6.0,0.43,4.0,0.29,4.0,0.29
245,245,598,vanessa demopoulos,kanako murata,Red,False,Women's Strawweight,0,3,1,0,0,2.15,0.56,0.8,3.38,0.56,1,1,5,0,0,0,1,0,0,0,1,1.0,154.94,157.48,115,1,0,0,3.98,0.41,0.6,0.42,0.11,3,3,16,0,0,1,1,0,1,0,3,1.0,157.48,149.86,115,35,30,U-DEC,900.0,213.0,0.41,0.12,3.87,5.53,0.42,0.27,0.41,0.54,0.14,12.32,116.0,62.0,59.5,35.0,11.0,-6.0,1.0,0.04,23.0,0.82,4.0,0.14,585.0,0.57,0.56,2.15,2.4,0.53,1.0,3.38,0.75,0.0,13.33,114.5,61.0,62.0,30.0,12.0,-3.0,2.0,0.17,6.0,0.5,4.0,0.33
246,246,599,aoriqileng,johnny munoz,Red,False,Bantamweight,1,3,1,0,0,2.44,0.36,1.8,2.4,0.25,1,3,12,0,0,0,1,0,1,0,2,1.0,175.26,180.34,135,1,0,0,5.31,0.5,0.0,1.45,0.46,2,3,11,0,0,0,1,1,0,0,2,1.0,170.18,175.26,135,30,30,U-DEC,900.0,40.0,0.5,0.47,4.65,5.46,0.49,0.58,1.2,0.0,0.34,10.92,146.0,67.0,69.0,31.0,25.0,-11.0,8.0,0.32,16.0,0.64,1.0,0.04,583.0,0.37,0.26,2.44,2.66,0.55,0.45,2.4,1.75,0.0,11.45,136.0,69.0,71.0,30.0,12.0,-4.0,2.0,0.17,3.0,0.25,7.0,0.58
