,RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,FinishRoundTime,TotalFightTimeSecs
23,Nyamjargal Tumendemberel,Carlos Hernandez,102.0,-122.0,2024-11-23,Blue,False,Flyweight,1,3,2,0,0,3.9,0.45,0.2,1.6,0.21,2,3,15,0,0,2,1,0,0,0,3,1.0,172.72,170.18,125,0,2,0,3.13,0.38,2.4,2.42,0.31,2,0,4,0,0,1,0,0,1,0,2,1.0,170.18,180.34,125,26,31,S-DEC,5:00,900.0
24,Lone'er Kavanagh,Jose Ochoa,-310.0,250.0,2024-11-23,Red,False,Flyweight,1,3,0,0,0,3.33,0.31,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,170.18,170.18,125,0,1,0,3.62,0.43,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,1.0,162.56,170.18,125,25,23,U-DEC,5:00,900.0
25,Xiao Long,Quang Le,-144.0,136.0,2024-11-23,Red,False,Bantamweight,1,3,1,0,0,3.02,0.35,0.0,1.7,0.23,0,1,3,0,0,0,0,0,0,0,0,1.0,167.64,177.8,135,1,0,0,5.4,0.5,0.0,0.84,0.25,2,2,12,0,1,1,0,0,0,0,2,1.0,172.72,177.8,135,26,33,KO/TKO,1:28,688.0
26,Maheshate,Nikolas Motta,-245.0,200.0,2024-11-23,Blue,False,Lightweight,1,3,0,1,0,3.64,0.37,0.0,0.0,0.0,1,2,11,0,0,0,1,2,0,0,3,1.0,175.26,177.8,155,0,1,0,3.86,0.29,0.0,0.0,0.0,2,2,12,0,0,1,1,1,0,0,3,1.0,182.88,180.34,155,24,31,U-DEC,5:00,900.0
27,Jon Jones,Stipe Miocic,-550.0,410.0,2024-11-16,Red,True,Heavyweight,1,5,1,0,0,4.67,0.52,0.0,1.74,0.34,6,4,46,8,0,0,5,9,0,0,14,1.0,193.04,203.2,240,0,18,0,4.38,0.58,0.5,1.89,0.45,18,1,74,16,0,1,9,5,6,0,21,1.0,193.04,213.36,248,37,42,KO/TKO,4:29,869.0
28,Charles Oliveira,Michael Chandler,-265.0,215.0,2024-11-16,Red,False,Lightweight,1,3,1,0,0,4.49,0.5,0.6,1.59,0.37,3,3,14,1,0,0,0,3,1,0,4,1.0,172.72,180.34,155,1,0,0,3.4,0.55,2.7,2.25,0.4,11,10,63,3,0,0,2,4,16,0,22,1.0,177.8,187.96,155,35,38,U-DEC,5:00,1500.0
29,Bo Nickal,Paul Craig,-1350.0,800.0,2024-11-16,Red,False,Middleweight,1,3,2,0,1,2.52,0.44,1.4,1.52,0.2,4,8,34,0,0,0,0,3,6,0,9,1.0,190.5,193.04,185,0,5,0,2.65,0.63,3.6,3.61,0.5,5,0,6,0,0,0,0,1,4,0,5,0.0,185.42,193.04,185,28,36,U-DEC,5:00,900.0
30,Viviane Araujo,Karine Silva,235.0,-290.0,2024-11-16,Red,False,Women's Flyweight,0,3,0,5,0,3.04,0.38,1.9,2.79,0.5,5,0,8,0,0,0,1,0,4,0,5,1.0,165.1,170.18,125,1,0,0,4.04,0.47,0.7,1.86,0.43,2,5,35,0,0,0,5,1,0,0,6,1.0,162.56,172.72,125,37,30,U-DEC,5:00,900.0
31,Mauricio Ruffy,James Llontop,-1000.0,650.0,2024-11-16,Red,False,Catch Weight,1,3,2,0,0,5.57,0.41,0.0,0.0,0.0,1,2,7,0,0,0,1,0,0,0,1,1.0,182.88,185.42,155,0,2,0,4.7,0.59,0.0,0.0,0.0,2,0,4,0,0,0,0,2,0,0,2,1.0,180.34,190.5,155,28,25,U-DEC,5:00,900.0
32,Jonathan Martinez,Marcus McGhee,-105.0,-115.0,2024-11-16,Blue,False,Bantamweight,1,3,0,3,0,6.06,0.48,0.5,0.46,0.33,3,0,5,0,0,0,0,2,1,0,3,1.0,172.72,175.26,135,1,0,0,4.44,0.49,0.1,0.38,0.35,6,4,39,0,0,0,6,4,0,0,10,0.0,172.72,177.8,135,30,34,U-DEC,5:00,900.0
