,RedFighter,BlueFighter,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,TotalFightTimeSecs,strike_accuracy_Red,takedown_accuracy_Red,connected_strikes_per_minute_Red,absorved_strikes_per_minute_Red,strikes_defense_Red,takedown_defense_Red,takedown_avg_Red,submission_avg_Red,knockdown_avg_Red,avg_fight_time_Red,weight_Red,height_Red,reach_Red,age_Red,win_by_ko_tko_win_Red,win_by_ko_tko_win_percent_Red,win_by_dec_win_Red,win_by_dec_win_percent_Red,win_by_sub_win_Red,win_by_sub_win_percent_Red,strike_accuracy_Blue,takedown_accuracy_Blue,connected_strikes_per_minute_Blue,absorved_strikes_per_minute_Blue,strikes_defense_Blue,takedown_defense_Blue,takedown_avg_Blue,submission_avg_Blue,knockdown_avg_Blue,avg_fight_time_Blue,weight_Blue,height_Blue,reach_Blue,age_Blue,win_by_ko_tko_win_Blue,win_by_ko_tko_win_percent_Blue,win_by_dec_win_Blue,win_by_dec_win_percent_Blue,win_by_sub_win_Blue,win_by_sub_win_percent_Blue
1919,ilia topuria,damon jackson,Red,False,Featherweight,1,3,0,1,1,2.2,0.36,2.9,1.22,0.2,1,1,9,0,0,0,0,0,1,0,1,,180.34,180.34,145,0,1,0,0.87,0.39,5.0,5.0,0.55,1,0,3,0,0,0,1,0,0,0,1,1.0,170.18,175.26,145,23,32,KO/TKO,,0.47,0.61,4.69,3.84,0.64,0.93,2.02,1.1,1.1,10.23,145.0,67.0,69.0,28.0,6.0,0.38,2.0,0.13,8.0,0.5,0.43,0.33,2.96,3.47,0.49,0.38,2.3,1.2,0.0,9.8,155.2,71.0,71.0,36.0,4.0,0.17,4.0,0.17,15.0,0.65
1920,gian villante,jake collier,Blue,False,Heavyweight,1,3,1,0,0,4.15,0.39,0.5,0.71,0.23,1,4,15,0,0,1,1,1,0,0,3,1.0,190.5,198.12,230,2,0,0,4.32,0.44,0.0,0.49,0.23,3,11,52,0,0,3,2,5,0,0,10,1.0,190.5,193.04,230,35,32,U-DEC,,0.44,0.23,4.38,5.47,0.55,0.83,0.45,0.0,0.32,10.87,260.6,75.0,76.0,37.0,10.0,0.59,5.0,0.29,2.0,0.12,0.44,0.33,5.8,5.08,0.51,0.68,0.71,0.61,0.3,10.6,265.5,75.0,78.5,34.0,5.0,0.38,4.0,0.31,4.0,0.31
1921,anthony smith,devin clark,Red,False,Light Heavyweight,1,5,0,2,0,3.4,0.57,0.1,2.76,0.36,2,4,24,0,0,0,6,0,0,0,6,1.0,182.88,190.5,205,2,0,0,2.97,0.46,0.7,0.41,0.25,3,8,45,1,0,0,1,6,3,0,10,1.0,193.04,193.04,205,32,30,SUB,,0.49,0.24,3.2,4.88,0.45,0.5,0.44,0.61,0.39,9.85,205.5,76.0,76.0,36.0,19.0,0.5,4.0,0.11,15.0,0.39,0.54,0.33,3.03,3.24,0.44,0.59,2.17,0.08,0.23,11.4,221.0,72.0,75.0,33.0,4.0,0.31,8.0,0.62,1.0,0.08
1922,miguel baeza,takashi sato,Red,False,Welterweight,1,3,0,1,0,3.94,0.41,0.0,0.79,0.5,1,1,6,0,0,0,0,2,0,0,2,0.0,177.8,185.42,170,0,3,0,4.78,0.56,1.1,0.54,0.33,3,0,7,0,0,0,1,2,0,0,3,1.0,187.96,187.96,170,28,30,SUB,,0.49,0.22,4.09,5.92,0.47,0.55,0.36,1.99,0.9,10.37,171.0,74.0,74.5,30.0,7.0,0.7,2.0,0.2,1.0,0.1,0.42,0.38,2.21,3.73,0.44,0.61,0.76,0.0,0.51,8.47,170.5,70.0,73.0,33.0,11.0,0.69,3.0,0.19,2.0,0.13
1923,josh parisian,parker porter,Blue,False,Heavyweight,1,3,1,0,0,6.82,0.43,1.2,1.22,1.0,0,1,1,0,0,0,0,0,0,0,0,1.0,182.88,190.5,265,0,2,0,7.07,0.55,2.9,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,1.0,193.04,200.66,265,31,35,U-DEC,,0.48,0.33,4.55,4.88,0.41,0.46,0.98,0.2,0.39,8.47,266.0,76.0,79.0,34.0,11.0,0.73,2.0,0.13,2.0,0.13,0.5,0.26,6.55,6.32,0.52,0.67,1.35,0.45,0.0,7.4,268.0,72.0,75.0,38.0,6.0,0.43,5.0,0.36,3.0,0.21
1924,spike carlyle,bill algeo,Blue,False,Featherweight,1,3,2,0,0,7.87,0.53,0.0,0.5,0.33,0,2,6,0,0,0,0,0,0,0,0,,182.88,185.42,145,1,0,0,3.47,0.6,0.0,2.74,0.5,1,1,4,0,0,0,0,1,0,0,1,,172.72,180.34,145,27,31,U-DEC,,0.54,0.37,2.55,3.85,0.3,0.57,3.34,0.48,0.0,10.47,145.5,68.0,71.0,30.0,5.0,0.56,1.0,0.11,3.0,0.33,0.52,0.5,5.88,4.38,0.47,0.55,1.03,0.11,0.23,11.92,146.0,72.0,73.0,35.0,4.0,0.24,6.0,0.35,7.0,0.41
1925,ashlee evans-smith,norma dumont,Blue,False,Women's Bantamweight,0,3,1,0,0,1.42,0.31,0.0,4.27,0.33,0,1,1,0,0,0,0,0,0,0,0,1.0,170.18,170.18,135,1,0,0,4.86,0.35,0.0,1.3,0.25,2,4,17,0,0,1,1,1,0,0,3,1.0,172.72,170.18,135,33,30,U-DEC,,0.34,0.23,4.03,4.59,0.54,0.5,0.95,0.0,0.0,12.28,135.5,68.0,67.5,36.0,3.0,0.5,3.0,0.5,0.0,0.0,0.5,0.57,3.86,2.16,0.66,0.72,1.72,0.0,0.2,14.85,136.0,67.0,67.0,34.0,0.0,0.0,10.0,0.83,2.0,0.17
1926,jonathan pearce,kai kamaka,Red,False,Featherweight,1,3,0,1,0,7.6,0.61,0.0,5.0,1.0,1,0,3,0,0,0,1,0,0,0,1,1.0,170.18,175.26,145,1,0,0,11.21,0.57,0.0,4.48,0.5,1,1,4,0,0,0,0,1,0,0,1,,182.88,180.34,145,28,25,KO/TKO,,0.55,0.5,5.12,3.32,0.54,0.56,5.02,0.76,0.0,9.85,145.0,72.0,71.0,32.0,9.0,0.64,3.0,0.21,2.0,0.14,0.57,0.58,4.96,5.29,0.55,0.53,1.93,0.28,0.28,13.62,144.5,67.0,69.0,28.0,0.0,0.0,7.0,0.88,1.0,0.13
1927,martin day,anderson dos santos,Blue,False,Bantamweight,1,3,2,0,0,2.7,0.26,0.5,1.0,0.2,0,2,6,0,0,0,0,0,0,0,0,1.0,165.1,177.8,135,3,0,0,5.39,0.45,0.7,0.7,0.5,0,3,9,0,0,0,0,0,0,0,0,1.0,177.8,185.42,135,32,35,SUB,,0.46,0.6,3.97,3.79,0.54,0.65,0.72,0.48,0.48,12.45,146.0,70.0,73.5,34.0,3.0,0.38,3.0,0.38,2.0,0.25,0.26,0.14,2.7,5.37,0.5,0.67,0.98,0.65,0.0,11.47,135.5,65.0,70.0,37.0,5.0,0.24,4.0,0.19,12.0,0.57
1928,gina mazany,rachael ostovich,Red,False,Women's Flyweight,0,3,2,0,0,2.32,0.43,1.3,3.28,1.0,1,2,6,0,0,0,0,0,1,0,1,1.0,160.02,157.48,125,3,0,0,2.75,0.49,0.0,3.14,0.7,1,4,9,0,0,0,1,0,0,0,1,0.0,167.64,172.72,125,32,29,KO/TKO,,0.51,0.53,3.73,3.52,0.5,0.33,4.34,0.23,0.23,8.2,126.0,66.0,68.5,34.0,4.0,0.57,2.0,0.29,1.0,0.14,0.43,0.83,2.54,3.97,0.58,0.67,2.03,0.81,0.0,9.25,125.5,63.0,62.0,32.0,0.0,0.0,2.0,0.5,2.0,0.5
1929,su mudaerji,malcolm gordon,Red,False,Flyweight,1,3,1,0,0,0.64,0.18,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,,170.18,180.34,125,0,1,0,5.02,0.59,1.4,0.68,1.0,1,1,5,0,0,0,1,0,0,0,1,0.0,172.72,182.88,125,24,30,KO/TKO,,,,,,,,,,,,,,,,,,,,,,0.45,0.36,2.5,2.0,0.44,0.27,1.72,1.03,0.0,6.22,127.5,67.0,71.0,33.0,5.0,0.36,3.0,0.21,6.0,0.43
1930,luke sanders,nate maness,Blue,False,Catch Weight,1,3,0,1,0,1.4,0.42,0.0,1.0,1.0,1,0,3,0,0,0,1,0,0,0,1,1.0,177.8,182.88,135,0,1,0,6.0,0.51,0.4,0.37,0.25,2,3,12,0,0,0,1,2,1,0,4,0.0,167.64,170.18,135,34,29,SUB,,0.53,0.3,6.61,4.37,0.51,0.73,0.71,0.24,0.95,7.35,145.5,66.0,67.0,37.0,8.0,0.62,4.0,0.31,1.0,0.08,0.5,0.75,3.14,3.88,0.43,0.8,0.68,0.68,0.45,9.5,141.8,70.0,72.0,32.0,6.0,0.4,6.0,0.4,3.0,0.2
1931,deiveson figueiredo,alex perez,Red,False,Flyweight,1,5,0,3,0,4.68,0.47,1.4,3.03,0.5,4,1,13,0,0,0,2,2,3,0,7,1.0,167.64,165.1,125,0,4,0,2.8,0.55,2.9,1.71,0.5,4,1,19,1,0,1,1,4,2,0,8,1.0,165.1,172.72,125,32,28,SUB,,0.54,0.35,2.91,3.55,0.5,0.6,1.62,1.43,0.78,12.83,135.0,65.0,68.0,37.0,9.0,0.38,6.0,0.25,9.0,0.38,0.46,0.46,4.19,3.2,0.59,0.77,2.04,0.85,0.68,6.78,126.0,66.0,65.5,32.0,6.0,0.24,12.0,0.48,7.0,0.28
1932,valentina shevchenko,jennifer maia,Red,False,Women's Flyweight,0,3,0,1,0,4.08,0.39,0.2,0.23,0.5,2,2,13,0,0,0,2,0,1,0,3,1.0,162.56,162.56,125,0,5,0,3.06,0.5,0.4,2.09,0.54,5,2,35,5,0,1,3,2,2,0,8,0.0,165.1,167.64,125,32,32,U-DEC,,0.53,0.64,3.16,2.0,0.64,0.71,2.74,0.34,0.05,18.37,125.0,65.0,67.0,36.0,8.0,0.33,9.0,0.38,7.0,0.29,0.39,0.28,4.35,4.52,0.56,0.59,0.42,0.08,0.0,14.95,125.0,64.0,64.0,34.0,4.0,0.2,11.0,0.55,5.0,0.25
1933,mike perry,tim means,Blue,False,Welterweight,1,3,0,1,0,4.92,0.46,0.2,0.98,0.42,4,9,48,0,0,1,4,5,2,0,12,1.0,187.96,190.5,170,0,1,0,4.36,0.48,0.0,0.66,0.46,2,6,30,0,0,1,2,4,0,0,7,1.0,177.8,180.34,170,29,36,U-DEC,,0.47,0.41,4.32,5.16,0.53,0.79,0.81,0.18,0.72,11.13,170.0,70.0,71.0,31.0,11.0,0.79,3.0,0.21,0.0,0.0,0.49,0.4,5.04,3.65,0.6,0.65,1.14,0.16,0.57,9.63,171.0,74.0,75.0,40.0,20.0,0.61,8.0,0.24,5.0,0.15
1934,katlyn chookagian,cynthia calvillo,Red,False,Women's Flyweight,0,3,0,3,1,4.21,0.44,1.3,1.97,0.46,3,1,22,0,0,0,3,0,3,0,6,1.0,162.56,162.56,125,1,0,0,4.18,0.35,0.5,0.3,0.15,3,4,31,1,0,1,6,0,0,0,7,1.0,175.26,172.72,125,31,33,U-DEC,,,,,,,,,,,,,,,,,,,,,,0.38,0.44,4.41,4.12,0.64,0.78,1.8,0.81,0.0,12.83,127.6,64.0,64.0,36.0,2.0,0.22,4.0,0.44,3.0,0.33
1935,mauricio rua,paul craig,Blue,False,Light Heavyweight,1,3,0,2,1,2.3,0.48,1.6,1.61,0.21,1,4,19,0,0,0,0,0,5,0,5,1.0,190.5,193.04,205,0,2,1,3.63,0.5,0.8,2.17,0.48,8,11,79,3,0,2,3,21,1,0,27,1.0,185.42,193.04,205,38,32,KO/TKO,,0.51,0.49,3.57,2.79,0.54,0.49,2.01,0.71,0.87,9.07,205.0,73.0,76.0,41.0,21.0,0.78,5.0,0.19,1.0,0.04,0.45,0.21,2.52,3.03,0.43,0.38,1.52,1.42,0.09,8.33,186.0,75.5,76.0,37.0,4.0,0.24,0.0,0.0,13.0,0.76
1936,brandon moreno,brandon royval,Red,False,Flyweight,1,3,0,2,0,3.9,0.52,3.2,1.06,1.0,2,0,4,0,0,0,0,0,2,0,2,0.0,175.26,172.72,125,0,2,1,3.0,0.34,0.5,1.75,0.4,3,2,23,0,0,1,2,0,2,0,5,1.0,170.18,177.8,125,26,28,KO/TKO,,0.44,0.46,3.99,3.53,0.61,0.64,1.59,0.42,0.21,16.67,135.0,67.0,70.0,30.0,5.0,0.23,6.0,0.27,11.0,0.5,0.4,0.75,4.46,3.06,0.48,0.45,0.75,1.25,0.37,12.02,125.5,69.0,68.0,32.0,4.0,0.24,4.0,0.24,9.0,0.53
1937,joaquin buckley,jordan wright,Red,False,Middleweight,1,3,0,1,0,7.79,0.77,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,1.0,187.96,195.58,205,0,1,0,3.92,0.32,0.0,0.85,0.25,1,1,5,0,0,0,0,1,0,0,1,0.0,177.8,193.04,185,26,29,KO/TKO,,0.37,0.45,4.22,3.13,0.59,0.74,1.78,0.09,0.84,10.65,171.0,70.0,76.0,30.0,15.0,0.71,6.0,0.29,0.0,0.0,0.57,0.45,4.1,6.03,0.32,1.0,2.09,0.42,0.84,4.48,204.0,74.0,77.0,31.0,7.0,0.58,0.0,0.0,5.0,0.42
1938,daniel rodriguez,nicolas dalby,Blue,False,Welterweight,1,3,0,1,1,3.17,0.38,0.0,1.74,0.45,1,2,16,0,0,1,1,0,0,0,2,1.0,180.34,187.96,170,0,4,0,8.46,0.48,0.4,1.83,0.83,4,0,9,0,0,0,2,1,1,0,4,0.0,185.42,187.96,170,33,36,U-DEC,,0.5,0.55,7.5,5.47,0.58,0.58,0.59,0.1,0.4,11.63,170.0,73.0,74.0,38.0,8.0,0.44,6.0,0.33,4.0,0.22,0.44,0.28,4.06,3.52,0.52,0.59,1.01,0.08,0.08,13.65,191.2,70.0,74.5,39.0,6.0,0.29,11.0,0.52,4.0,0.19
1939,alan jouban,jared gooden,Red,False,Welterweight,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,182.88,195.58,170,1,0,0,4.85,0.5,0.0,0.59,0.5,3,5,24,0,0,0,3,4,0,0,7,0.0,182.88,185.42,170,38,26,U-DEC,,0.5,0.44,5.67,3.77,0.6,0.59,0.51,0.26,1.15,9.0,170.5,72.0,73.5,41.0,11.0,0.69,4.0,0.25,1.0,0.06,0.49,0.45,4.4,6.74,0.45,0.65,0.91,0.36,0.18,11.77,172.5,72.0,77.0,31.0,11.0,0.48,5.0,0.22,7.0,0.3
1940,kyle daukaus,dustin stoltzfus,Red,False,Middleweight,1,3,0,1,0,3.68,0.76,3.5,3.45,1.0,1,0,1,0,0,0,0,1,0,0,1,1.0,182.88,190.5,185,1,0,0,3.4,0.64,2.0,2.5,0.5,1,1,6,0,0,0,1,0,0,0,1,0.0,190.5,193.04,185,27,29,U-DEC,,0.53,0.26,3.22,2.94,0.42,0.83,2.12,1.93,0.0,9.72,184.5,75.0,76.0,30.0,0.0,0.0,2.0,0.18,9.0,0.82,0.45,0.41,3.47,3.29,0.47,0.46,2.31,1.15,0.38,8.67,185.5,72.0,75.0,33.0,3.0,0.19,7.0,0.44,6.0,0.38
1941,louis cosce,sasha palatnikov,Blue,False,Welterweight,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,185.42,182.88,170,0,1,0,13.33,0.51,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,1.0,175.26,180.34,170,25,31,KO/TKO,,0.45,0.2,4.31,5.35,0.48,0.5,1.04,0.52,1.04,9.67,170.5,69.0,71.0,27.0,5.0,0.71,0.0,0.0,2.0,0.29,0.53,1.0,6.69,5.44,0.52,0.71,0.72,0.0,0.0,6.92,170.0,73.0,72.5,32.0,3.0,0.5,3.0,0.5,0.0,0.0
1942,paul felder,rafael dos anjos,Blue,False,Lightweight,1,5,2,0,0,3.47,0.45,0.6,1.82,0.39,5,11,86,4,0,0,10,4,4,0,18,0.0,172.72,177.8,155,1,0,0,3.67,0.43,0.2,0.25,0.25,3,5,38,0,0,2,2,4,1,0,9,1.0,180.34,177.8,155,36,36,S-DEC,,0.45,0.29,3.7,3.44,0.49,0.65,0.29,0.22,0.22,13.75,155.8,71.0,70.5,39.0,10.0,0.59,6.0,0.35,1.0,0.06,0.47,0.36,3.48,3.23,0.6,0.55,1.95,0.57,0.2,14.53,171.0,68.0,70.0,40.0,5.0,0.16,16.0,0.5,11.0,0.34
1943,abdul razak alhassan,khaos williams,Blue,False,Welterweight,1,3,0,1,0,22.22,0.58,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,1.0,182.88,195.58,170,1,0,0,4.54,0.48,0.0,0.73,0.28,3,2,10,0,0,0,0,4,0,0,4,1.0,177.8,185.42,170,35,26,KO/TKO,,0.5,0.33,3.64,4.01,0.55,0.52,0.84,0.17,1.85,5.97,185.5,70.0,73.0,39.0,12.0,1.0,0.0,0.0,0.0,0.0,0.38,0.0,5.36,5.19,0.44,0.6,0.0,0.0,0.9,9.27,169.5,72.0,77.0,30.0,8.0,0.57,5.0,0.36,1.0,0.07
1944,kay hansen,cory mckenna,Blue,False,Women's Strawweight,0,3,0,1,0,3.13,0.49,0.0,1.0,1.0,1,0,3,0,0,0,1,0,0,0,1,1.0,160.02,147.32,115,0,1,0,2.49,0.56,1.2,2.41,0.18,1,0,3,0,0,0,0,0,1,0,1,1.0,157.48,160.02,115,21,21,U-DEC,,0.5,0.23,3.01,3.19,0.52,0.38,1.83,0.78,0.0,14.37,118.5,62.0,63.0,23.0,2.0,0.29,1.0,0.14,4.0,0.57,0.39,0.48,2.94,3.68,0.46,0.75,2.0,0.36,0.0,11.82,115.0,63.0,58.5,25.0,2.0,0.25,4.0,0.5,2.0,0.25
1945,brendan allen,sean strickland,Blue,False,Catch Weight,1,3,0,2,0,4.64,0.36,0.4,1.22,0.57,3,3,28,0,0,2,3,2,1,0,8,1.0,185.42,193.04,185,0,4,0,2.67,0.6,2.4,1.42,0.37,4,0,7,0,0,0,1,1,2,0,4,1.0,187.96,190.5,185,24,29,KO/TKO,,0.54,0.39,3.79,3.83,0.46,0.59,1.67,1.3,0.37,10.08,201.8,74.0,75.0,29.0,5.0,0.21,5.0,0.21,14.0,0.58,0.43,0.64,5.95,4.57,0.61,0.76,0.73,0.16,0.24,16.05,185.0,73.0,76.0,33.0,11.0,0.38,14.0,0.48,4.0,0.14
1946,ashley yoder,miranda granger,Red,False,Women's Strawweight,0,3,1,0,0,3.47,0.43,0.0,0.0,0.0,1,1,4,0,0,0,1,0,0,0,1,1.0,170.18,172.72,125,2,0,0,2.96,0.4,0.4,1.14,0.36,2,5,21,0,0,1,1,0,0,0,2,0.0,170.18,175.26,115,33,28,U-DEC,,0.39,0.28,3.42,4.13,0.47,0.67,1.09,0.55,0.09,15.0,116.0,67.0,69.5,35.0,0.0,0.0,4.0,0.5,4.0,0.5,0.47,0.36,2.79,2.57,0.58,0.33,0.0,0.0,0.0,9.95,115.5,67.0,68.0,31.0,1.0,0.14,1.0,0.14,5.0,0.71
1947,alex morono,rhys mckee,Red,False,Welterweight,1,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1.0,187.96,198.12,170,1,0,0,4.42,0.39,0.6,0.0,0.0,3,3,23,0,0,1,3,1,1,0,6,1.0,180.34,182.88,170,30,25,U-DEC,,0.4,0.25,4.96,4.56,0.57,0.48,0.34,0.34,0.28,12.07,170.5,71.0,72.0,34.0,6.0,0.25,11.0,0.46,7.0,0.29,0.46,0.0,4.8,7.85,0.43,0.41,0.0,0.0,0.0,12.03,186.0,74.0,78.0,28.0,10.0,0.77,0.0,0.0,3.0,0.23
1948,randa markos,kanako murata,Blue,False,Women's Strawweight,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,154.94,157.48,115,2,0,1,2.92,0.41,0.2,1.32,0.28,1,8,39,0,0,2,3,0,1,0,6,1.0,162.56,160.02,115,35,27,U-DEC,,0.44,0.29,2.97,3.1,0.59,0.53,1.12,0.2,0.0,12.62,115.0,64.0,63.5,37.0,0.0,0.0,22.0,0.85,4.0,0.15,0.57,0.56,2.15,2.4,0.53,1.0,3.38,0.75,0.0,13.33,114.5,61.0,62.0,30.0,2.0,0.17,6.0,0.5,4.0,0.33
1949,geraldo de freitas,tony gravely,Blue,False,Bantamweight,1,3,1,0,0,3.94,0.59,1.2,4.77,0.66,1,1,6,0,0,0,0,1,0,0,1,1.0,165.1,175.26,135,1,0,0,2.97,0.47,0.0,4.0,0.5,1,1,6,0,0,0,1,0,0,0,1,1.0,170.18,182.88,135,29,29,S-DEC,,,,,,,,,,,,,,,,,,,,,,0.48,0.42,3.82,4.47,0.44,0.52,5.4,0.3,0.6,11.1,136.0,65.0,69.0,31.0,10.0,0.43,10.0,0.43,3.0,0.13
1950,don'tale mayes,roque martinez,Red,False,Heavyweight,1,3,1,0,0,0.75,0.46,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,1.0,177.8,182.88,250,2,0,0,4.19,0.45,0.0,0.0,0.0,2,3,11,0,0,0,0,2,0,0,2,1.0,198.12,205.74,260,28,34,U-DEC,,0.44,0.39,3.49,3.77,0.47,0.58,0.64,0.0,0.27,11.7,266.0,78.0,81.0,33.0,7.0,0.64,4.0,0.36,0.0,0.0,0.54,0.5,3.28,4.9,0.56,0.54,0.38,0.38,0.0,13.12,249.0,70.0,72.0,37.0,8.0,0.53,4.0,0.27,3.0,0.2
1951,thiago santos,glover teixeira,Blue,False,Light Heavyweight,1,5,0,4,0,3.74,0.47,0.9,1.87,0.38,8,6,51,1,0,1,2,8,6,0,17,1.0,187.96,193.04,205,1,0,0,4.44,0.47,0.1,0.83,0.4,4,6,37,1,0,0,2,11,0,0,13,1.0,187.96,193.04,205,36,41,SUB,,0.48,0.33,3.72,2.57,0.54,0.66,0.88,0.06,0.88,9.95,206.0,74.0,76.0,39.0,15.0,0.68,6.0,0.27,1.0,0.05,0.5,0.34,3.73,4.43,0.51,0.6,2.11,0.94,0.33,10.33,205.0,74.0,76.0,43.0,18.0,0.55,5.0,0.15,10.0,0.3
1952,andrei arlovski,tanner boser,Red,False,Heavyweight,1,3,0,2,0,4.54,0.54,0.0,0.0,0.0,2,1,9,0,0,0,1,2,0,0,3,1.0,187.96,190.5,255,0,1,0,3.54,0.44,0.3,0.5,0.36,6,17,80,5,0,1,6,11,2,0,20,1.0,190.5,195.58,240,41,29,U-DEC,,0.46,0.35,3.82,3.22,0.57,0.77,0.37,0.2,0.4,9.4,245.0,75.0,77.0,45.0,17.0,0.5,14.0,0.41,3.0,0.09,0.53,0.41,4.7,2.75,0.58,0.63,0.0,0.0,0.27,10.98,217.0,74.0,75.5,32.0,11.0,0.55,7.0,0.35,2.0,0.1
1953,raoni barcelos,khalid taha,Red,False,Bantamweight,1,3,0,1,0,2.64,0.5,0.5,0.0,0.0,1,1,7,0,0,0,0,1,0,0,1,1.0,165.1,175.26,135,0,4,0,4.79,0.5,0.7,2.31,0.58,4,0,10,0,0,0,1,2,1,0,4,1.0,170.18,170.18,135,33,28,U-DEC,,0.53,0.37,5.11,4.64,0.6,0.82,2.46,0.69,0.49,12.68,135.5,67.5,67.0,37.0,8.0,0.42,8.0,0.42,3.0,0.16,0.32,0.0,2.64,4.12,0.47,0.62,0.0,0.24,0.49,10.28,135.0,67.0,68.0,31.0,9.0,0.69,2.0,0.15,2.0,0.15
1954,claudia gadelha,yan xiaonan,Blue,False,Women's Strawweight,0,3,0,5,0,6.72,0.42,0.0,1.2,0.75,5,0,15,0,0,0,5,0,0,0,5,1.0,165.1,160.02,115,0,2,0,3.4,0.41,0.7,3.13,0.45,2,4,33,1,0,2,4,0,1,0,7,1.0,162.56,160.02,115,31,31,U-DEC,,0.42,0.43,3.31,4.57,0.57,0.59,3.03,0.67,0.08,14.83,115.5,64.0,63.5,34.0,2.0,0.12,8.0,0.47,7.0,0.41,0.45,0.73,4.99,3.44,0.6,0.63,0.92,0.0,0.17,15.03,116.0,65.0,63.0,35.0,8.0,0.42,10.0,0.53,1.0,0.05
1955,trevin giles,bevon lewis,Red,False,Middleweight,1,3,0,1,0,4.05,0.45,0.0,0.0,0.0,2,2,12,0,0,0,1,2,0,0,3,1.0,190.5,200.66,185,0,1,0,3.61,0.56,0.2,1.47,1.0,2,2,14,0,0,1,0,2,0,0,3,1.0,182.88,187.96,185,28,29,KO/TKO,,0.54,0.5,3.17,2.39,0.58,0.72,1.07,0.29,0.29,10.98,170.0,72.0,74.0,32.0,6.0,0.38,5.0,0.31,5.0,0.31,0.44,0.0,3.73,2.67,0.54,0.67,0.0,0.0,0.47,10.63,185.0,75.0,79.0,32.0,3.0,0.5,3.0,0.5,0.0,0.0
1956,giga chikadze,jamey simmons,Red,False,Featherweight,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,165.1,165.1,145,0,4,0,3.52,0.43,0.0,0.4,0.4,4,1,15,0,0,2,2,0,0,0,4,1.0,182.88,187.96,145,32,28,KO/TKO,,0.42,0.33,3.92,3.5,0.61,0.7,0.21,0.21,0.62,13.25,146.0,72.0,74.0,36.0,9.0,0.6,5.0,0.33,1.0,0.07,0.22,0.0,0.79,1.92,0.75,0.5,0.0,0.0,0.0,5.72,136.0,66.0,70.0,30.0,4.0,0.57,2.0,0.29,1.0,0.14
1957,alexandr romanov,marcos rogerio de lima,Red,False,Heavyweight,1,3,0,1,0,3.78,0.54,0.8,0.76,0.6,2,5,17,0,0,0,1,4,1,0,6,1.0,185.42,190.5,253,0,1,0,5.87,0.37,3.2,6.41,1.0,1,0,2,0,0,0,0,0,1,0,1,0.0,187.96,190.5,262,29,35,SUB,,0.52,0.55,3.78,2.13,0.54,0.29,4.49,0.86,0.0,8.68,261.0,74.0,75.0,34.0,6.0,0.33,3.0,0.17,9.0,0.5,0.58,0.46,3.7,2.9,0.52,0.59,1.4,0.51,0.89,6.2,261.0,73.0,75.0,39.0,15.0,0.71,3.0,0.14,3.0,0.14
1958,max griffin,ramiz brahimaj,Red,False,Welterweight,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,177.8,185.42,170,2,0,0,3.87,0.49,0.5,1.9,0.55,1,6,25,0,1,0,1,1,0,0,3,1.0,180.34,193.04,170,34,27,KO/TKO,,0.49,0.41,3.75,3.66,0.58,0.7,1.37,0.27,0.55,12.92,170.0,71.0,76.0,39.0,9.0,0.47,8.0,0.42,2.0,0.11,0.45,0.36,2.26,4.04,0.44,0.44,1.51,1.51,0.3,8.27,170.2,70.0,72.0,32.0,1.0,0.09,0.0,0.0,10.0,0.91
