,RedFighter,BlueFighter,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,TotalFightTimeSecs,strike_accuracy_Red,takedown_accuracy_Red,connected_strikes_per_minute_Red,absorved_strikes_per_minute_Red,strikes_defense_Red,takedown_defense_Red,takedown_avg_Red,submission_avg_Red,knockdown_avg_Red,avg_fight_time_Red,weight_Red,height_Red,reach_Red,age_Red,win_by_ko_tko_win_Red,win_by_ko_tko_win_percent_Red,win_by_dec_win_Red,win_by_dec_win_percent_Red,win_by_sub_win_Red,win_by_sub_win_percent_Red,strike_accuracy_Blue,takedown_accuracy_Blue,connected_strikes_per_minute_Blue,absorved_strikes_per_minute_Blue,strikes_defense_Blue,takedown_defense_Blue,takedown_avg_Blue,submission_avg_Blue,knockdown_avg_Blue,avg_fight_time_Blue,weight_Blue,height_Blue,reach_Blue,age_Blue,win_by_ko_tko_win_Blue,win_by_ko_tko_win_percent_Blue,win_by_dec_win_Blue,win_by_dec_win_percent_Blue,win_by_sub_win_Blue,win_by_sub_win_percent_Blue
4860,neil magny,tim means,Red,False,Welterweight,1,3,2,0,0,47.5,0.453,0.0,0.0,0.0,2,2,10,0,0,0,1,1,0,0,2,1.0,187.96,190.5,170,0,1,0,43.5,0.393,0.0,1.75,0.4,1,2,10,0,0,0,2,0,0,0,2,1.0,190.5,203.2,170,26,30,U-DEC,900.0,0.46,0.39,3.43,2.48,0.52,0.54,2.12,0.25,0.07,12.27,171.0,75.0,80.0,37.0,8.0,0.28,17.0,0.59,4.0,0.14,0.49,0.4,5.04,3.65,0.6,0.65,1.14,0.16,0.57,9.63,171.0,74.0,75.0,40.0,20.0,0.61,8.0,0.24,5.0,0.15
4861,soa palelei,ruan potts,Red,False,Heavyweight,1,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.0,187.96,190.5,247,0,2,0,20.6667,0.7,0.0,2.0,1.0,2,1,7,0,0,0,0,2,0,0,2,1.0,193.04,205.74,265,36,36,KO/TKO,140.0,0.58,0.48,2.47,2.68,0.48,0.67,2.2,0.0,0.0,9.37,264.0,76.0,81.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.17,0.85,5.92,0.23,0.33,0.75,2.26,0.0,6.63,253.0,74.0,75.0,45.0,4.0,0.5,0.0,0.0,4.0,0.5
4862,chris cariaso,louis smolka,Red,False,Flyweight,1,3,0,1,0,92.0,0.37,1.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,1.0,175.26,172.72,135,0,2,0,51.3333,0.443,0.2222,0.8889,0.323,3,3,26,0,0,1,4,1,0,0,6,0.0,160.02,160.02,125,32,22,S-DEC,900.0,0.44,0.39,3.35,2.23,0.61,0.58,1.11,0.84,0.0,12.47,126.0,63.0,63.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.35,4.67,4.11,0.54,0.32,1.69,1.78,0.19,9.4,136.0,69.0,68.5,31.0,8.0,0.47,2.0,0.12,7.0,0.41
4863,ed herman,rafael natal,Red,False,Middleweight,1,3,1,0,0,37.5556,0.48,0.7778,2.2222,0.308,3,4,24,0,0,0,4,0,1,0,5,1.0,182.88,193.04,185,1,0,0,26.1333,0.522,0.8667,1.9333,0.508,3,7,33,1,0,1,1,2,4,0,8,1.0,185.42,195.58,205,33,31,U-DEC,900.0,0.48,0.48,3.31,3.71,0.43,0.59,1.96,1.04,0.23,9.63,206.0,74.0,77.0,42.0,7.0,0.26,5.0,0.19,15.0,0.56,0.48,0.34,3.1,2.48,0.58,0.77,2.55,0.5,0.35,12.45,185.2,72.0,76.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
4864,kyoji horiguchi,darrell montague,Red,False,Flyweight,1,3,1,0,0,10.0,0.27,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0.0,167.64,170.18,125,0,1,0,30.0,0.6,0.0,1.0,0.33,1,0,2,0,0,0,0,1,0,0,1,1.0,165.1,167.64,125,23,26,U-DEC,900.0,0.45,0.44,3.6,2.45,0.62,0.55,2.0,0.0,0.53,14.08,125.0,64.0,66.0,32.0,9.0,0.41,7.0,0.32,6.0,0.27,0.26,0.25,1.92,5.38,0.53,0.33,0.72,1.44,0.0,6.93,125.5,66.0,67.0,35.0,5.0,0.38,3.0,0.23,5.0,0.38
4865,yan cabral,zak cummings,Blue,False,Welterweight,1,3,0,1,0,5.0,0.45,1.0,2.0,0.66,1,0,1,0,0,0,0,0,1,0,1,0.0,182.88,190.5,185,0,1,0,18.0,0.52,1.0,4.0,0.66,1,0,3,0,0,0,1,0,0,0,1,1.0,180.34,185.42,155,30,29,U-DEC,900.0,0.48,0.36,2.02,1.98,0.62,0.38,2.89,1.24,0.21,12.12,156.0,71.0,73.0,40.0,0.0,0.0,0.0,0.0,10.0,1.0,0.36,0.28,2.96,2.91,0.55,0.67,0.62,0.62,0.71,11.28,206.0,72.0,75.0,38.0,5.0,0.22,6.0,0.26,12.0,0.52
4866,eddie wineland,johnny eduardo,Blue,False,Bantamweight,1,3,0,1,0,39.5,0.325,0.5,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,1.0,170.18,180.34,135,0,1,0,41.8333,0.282,0.0,0.3333,0.222,2,3,15,1,0,1,0,2,0,0,3,1.0,170.18,175.26,135,29,35,KO/TKO,277.0,0.29,0.33,3.4,3.76,0.68,0.86,0.34,0.14,0.88,9.63,135.0,67.5,69.0,38.0,15.0,0.63,5.0,0.21,4.0,0.17,0.4,0.2,2.95,3.22,0.63,0.59,0.22,0.43,0.43,8.65,135.5,67.0,71.0,44.0,10.0,0.36,7.0,0.25,11.0,0.39
4867,manvel gamburyan,nik lentz,Blue,False,Featherweight,1,3,1,0,0,40.4615,0.523,1.2308,3.4615,0.345,4,5,35,0,0,1,5,1,1,0,8,1.0,172.72,172.72,155,1,0,0,18.8,0.391,0.4,2.2,0.346,2,6,23,1,0,0,2,0,2,0,4,1.0,165.1,170.18,135,33,29,U-DEC,900.0,,,,,,,,,,,,,,,,,,,,,0.48,0.33,3.44,3.25,0.5,0.44,3.3,1.24,0.1,12.57,150.0,68.0,68.0,38.0,11.0,0.37,11.0,0.37,8.0,0.27
4868,justin salas,ben wall,Red,False,Lightweight,1,3,1,0,0,1.0,0.33,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1.0,177.8,185.42,155,1,0,0,28.25,0.42,0.0,1.75,0.148,1,2,8,0,0,1,1,0,0,0,2,0.0,172.72,177.8,155,32,25,KO/TKO,161.0,0.43,0.21,3.42,2.96,0.69,0.53,2.43,0.0,0.3,7.05,155.5,68.0,70.0,41.0,4.0,0.33,5.0,0.42,3.0,0.25,0.29,0.0,1.47,8.53,0.29,1.0,0.0,0.0,0.0,1.7,155.0,70.0,73.0,34.0,0.0,0.0,5.0,0.71,2.0,0.29
4869,anthony lapsley,albert tumenov,Blue,False,Welterweight,1,3,1,0,0,32.0,0.45,0.0,1.0,1.0,0,1,3,0,0,0,0,0,0,0,0,1.0,180.34,185.42,170,1,0,0,8.0,0.42,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0.0,175.26,180.34,170,34,22,KO/TKO,236.0,0.34,0.0,0.53,0.58,0.67,0.2,0.0,0.0,0.0,9.47,171.0,69.0,71.0,43.0,4.0,0.16,4.0,0.16,17.0,0.68,0.42,0.2,3.76,3.34,0.59,0.75,0.2,0.0,1.01,9.27,169.0,71.0,73.0,31.0,11.0,0.65,6.0,0.35,0.0,0.0
4870,jon jones,glover teixeira,Red,True,Light Heavyweight,1,5,0,5,0,41.2,0.528,0.6,2.0,0.55,5,0,8,0,0,0,1,1,2,1,5,1.0,187.96,193.04,205,0,10,0,49.0,0.572,0.5714,1.9286,0.62,10,1,37,7,0,0,4,4,5,0,13,1.0,193.04,213.36,205,26,34,U-DEC,1500.0,0.59,0.46,4.38,2.24,0.64,0.95,1.89,0.46,0.25,14.87,237.6,76.0,84.5,37.0,11.0,0.39,10.0,0.36,7.0,0.25,0.5,0.34,3.73,4.43,0.51,0.6,2.11,0.94,0.33,10.33,205.0,74.0,76.0,43.0,18.0,0.55,5.0,0.15,10.0,0.3
4871,phil davis,anthony johnson,Blue,False,Light Heavyweight,1,3,1,0,0,19.3636,0.48,0.4545,1.3636,0.307,3,4,19,0,0,0,1,6,0,0,7,1.0,187.96,198.12,205,0,3,0,38.0,0.441,0.6,2.2,0.431,5,2,26,0,0,0,5,0,3,0,8,1.0,187.96,200.66,205,29,30,U-DEC,900.0,0.35,0.36,2.87,1.39,0.72,0.72,2.76,0.53,0.0,12.98,206.0,74.0,79.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.58,3.25,1.83,0.6,0.77,2.43,0.64,1.66,6.17,203.8,74.0,78.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
