index,name,strike_accuracy,takedown_accuracy,connected_strikes_per_minute,absorved_strikes_per_minute,strikes_defense,takedown_defense,takedown_avg,submission_avg,knockdown_avg,avg_fight_time,weight,height,reach,division,age,Wins,Losses,win_by_ko_tko_win,win_by_ko_tko_win_percent,win_by_dec_win,win_by_dec_win_percent,win_by_sub_win,win_by_sub_win_percent
885.0,Wellington Turman,0.51,0.21,3.23,4.17,0.45,0.43,1.55,0.78,0.0,10.73,171.0,72.0,72.0,Welterweight Division,27.0,18,-8,4.0,0.22,6.0,0.33,8.0,0.44
886.0,Jalin Turner,0.49,0.56,5.6,4.57,0.42,0.74,0.79,1.11,1.27,7.28,155.5,75.0,77.0,Lightweight Division,29.0,14,-8,10.0,0.71,0.0,0.0,4.0,0.29
888.0,Marcin Tybura,0.49,0.33,3.57,3.26,0.55,0.77,1.42,0.13,0.06,11.07,251.0,75.0,78.0,Heavyweight Division,39.0,26,-9,10.0,0.38,9.0,0.35,7.0,0.27
889.0,Tagir Ulanbekov,0.47,0.47,3.13,3.2,0.49,0.64,3.56,1.68,0.21,11.93,125.5,67.0,70.0,Flyweight Division,33.0,16,-2,1.0,0.07,7.0,0.47,7.0,0.47
890.0,Carlos Ulberg,0.57,0.75,7.2,4.27,0.51,0.83,0.72,0.24,1.44,6.95,205.5,76.0,77.0,Light Heavyweight Division,34.0,12,-1,7.0,0.58,3.0,0.25,2.0,0.17
894.0,Kamaru Usman,0.52,0.45,4.36,2.74,0.54,0.9,2.82,0.1,0.48,17.45,184.5,72.0,76.0,Middleweight Division,37.0,20,-4,9.0,0.45,10.0,0.5,1.0,0.05
895.0,Mohammed Usman,0.37,0.18,3.41,4.41,0.5,0.6,0.69,0.0,0.23,13.12,245.0,74.0,79.0,Heavyweight Division,35.0,11,-4,4.0,0.36,5.0,0.45,2.0,0.18
899.0,Joshua Van,0.54,0.64,8.88,5.82,0.6,0.81,1.32,0.0,0.19,13.32,126.0,65.0,65.0,Flyweight Division,23.0,12,-2,6.0,0.5,4.0,0.33,2.0,0.17
900.0,Austin Vanderford,0.53,0.0,3.9,5.19,0.45,1.0,0.0,1.95,0.0,7.7,184.6,71.0,74.0,Welterweight Division,34.0,12,-2,4.0,0.33,5.0,0.42,3.0,0.25
901.0,Lando Vannata,0.45,0.38,4.52,4.76,0.55,0.69,1.09,0.3,0.5,11.65,156.0,69.0,71.0,Lightweight Division,31.0,12,-7,4.0,0.33,3.0,0.25,5.0,0.42
905.0,Cain Velasquez,0.58,0.45,6.37,2.33,0.57,0.86,5.13,0.38,1.28,6.88,248.0,73.5,77.0,Heavyweight Division,40.0,14,-3,12.0,0.86,2.0,0.14,0.0,0.0
906.0,Marlon Vera,0.49,0.39,4.27,5.37,0.5,0.73,0.51,0.83,0.56,13.48,136.0,68.0,70.5,Bantamweight Division,32.0,23,-10,8.0,0.35,5.0,0.22,10.0,0.43
909.0,Nikolay Veretennikov,0.6,0.0,3.4,3.33,0.55,0.6,0.0,0.0,0.0,15.0,170.5,73.0,74.0,Welterweight Division,35.0,12,-5,9.0,0.75,2.0,0.17,1.0,0.08
